State_UT,District,Registration_Date,Year,Month,Vehicle_Category,Fuel_Type,Manufacturer,Monthly_EV_Registrations,Charging_Stations,Population
Kerala,Kozhikode,2025-04-20,2025,4,Commercial,Battery Electric (BEV),Ashok Leyland,2,58.0,35000000
Himachal Pradesh,Kangra,2021-11-08,2021,11,Car,Battery Electric (BEV),Hyundai,0,22.0,7500000
Madhya Pradesh,Indore,2025-05-16,2025,5,2W,Battery Electric (BEV),Okinawa Autotech,68,92.0,85000000
Punjab,Amritsar,2024-06-23,2024,6,3W,Battery Electric (BEV),Piaggio,4,77.0,30000000
Jharkhand,Dhanbad,2020-03-08,2020,3,2W,Battery Electric (BEV),Hero Electric,1,12.0,39000000
Uttarakhand,Dehradun,2024-07-25,2024,7,2W,Battery Electric (BEV),Ola Electric,3,43.0,11000000
Madhya Pradesh,Indore,2022-03-18,2022,3,Commercial,Battery Electric (BEV),Eicher Motors,2,37.0,85000000
Odisha,Rourkela,2025-02-05,2025,2,3W,Battery Electric (BEV),YC Electric,3,32.0,46000000
Tamil Nadu,Coimbatore,2024-03-26,2024,3,3W,Battery Electric (BEV),Bajaj Auto,23,99.0,77000000
Andhra Pradesh,Vijayawada,2021-12-17,2021,12,2W,Battery Electric (BEV),Bajaj Auto,6,51.0,53000000
Punjab,Ludhiana,2019-01-18,2019,1,Car,Battery Electric (BEV),Mahindra Electric,0,30.0,30000000
Karnataka,Hubli,2025-01-03,2025,1,2W,Battery Electric (BEV),TVS Motor,67,89.0,67000000
Telangana,Hyderabad,2018-05-01,2018,5,2W,Battery Electric (BEV),Bajaj Auto,4,25.0,39000000
Karnataka,Bengaluru Urban,2024-12-13,2024,12,Car,Battery Electric (BEV),Hyundai,12,52.0,67000000
Telangana,Warangal,2022-02-07,2022,2,3W,Battery Electric (BEV),Mahindra Electric,4,47.0,39000000
Delhi,South Delhi,2024-02-09,2024,2,3W,Battery Electric (BEV),Kinetic Green,11,83.0,32000000
Punjab,Ludhiana,2022-12-12,2022,12,Car,Battery Electric (BEV),BYD,1,23.0,30000000
Mahrashtra,Nagpur,2018-01-10,2018,1,Car,Battery Electric (BEV),Hyundai,2,13.0,123000000
Uttar Pradesh,Varanasi,2018-12-25,2018,12,Commercial,Battery Electric (BEV),Tata Motors,2,22.0,231000000
Mahrashtra,Nashik,2021-05-05,2021,5,2W,Battery Electric (BEV),Bajaj Auto,19,30.0,123000000
Delhi,New Delhi,2021-11-06,2021,11,Commercial,Battery Electric (BEV),Eicher Motors,0,86.0,32000000
Andhra Pradesh,Guntur,2020-05-15,2020,5,2W,Battery Electric (BEV),Hero Electric,3,34.0,53000000
Odisha,Rourkela,2018-08-07,2018,8,3W,Battery Electric (BEV),Piaggio,0 ,6.0,46000000
Maharashtra,Thane,2021-02-25,2021,2,Bus,Battery Electric (BEV),Olectra Greentech,1,102.0,123000000
Goa,South Goa,2024-07-22,2024,7,Car,Battery Electric (BEV),Kia,0,22.0,1600000
Goa,North Goa,2024-11-22,2024,11,Commercial,Battery Electric (BEV),Mahindra Electric,0,27.0,1600000
Tamil Nadu,Coimbatore,2018-08-06,2018,8,Car,Battery Electric (BEV),Tata Motors,1,16.0,77000000
Telangana,Nizamabad,2023-03-27,2023,3,Car,Plug-in Hybrid (PHEV),MG Motor,8,135.0,39000000
Kerala,Ernakulam,2018-09-03,2018,9,2W,Battery Electric (BEV),Hero Electric,1,12.0,35000000
Punjab,Jalandhar,2018-02-20,2018,2,Bus,Battery Electric (BEV),Olectra Greentech,0,6.0,30000000
Karnataka,Mangaluru,2021-01-01,2021,1,Car,Battery Electric (BEV),MG Motor,3,65.0,67000000
Madhya Pradesh,Jabalpur,2024-11-05,2024,11,Commercial,Battery Electric (BEV),Ashok Leyland,5,77.0,85000000
Rajasthan,Jaipur,2023-04-14,2023,4,3W,Battery Electric (BEV),Kinetic Green,9,50.0,81000000
Telangana,Hyderabad,2021-04-08,2021,4,Commercial,Battery Electric (BEV),Eicher Motors,1,33.0,39000000
Kerala,Ernakulam,2022-07-15,2022,7,Car,Battery Electric (BEV),Kia,1,46.0,35000000
Andhra Pradesh,Guntur,2019-12-26,2019,12,Car,Battery Electric (BEV),Kia,0,24.0,53000000
Maharashtra,Thane,2021-11-05,2021,11,Car,Battery Electric (BEV),Kia,4,43.0,123000000
Bihar,Gaya,2023-07-10,2023,7,2W,Plug-in Hybrid (PHEV),Ola Electric,20,30.0,128000000
Odisha,Cuttack,2021-11-12,2021,11,Car,Battery Electric (BEV),BYD,0,21.0,46000000
Telangana,Hyderabad,2019-01-25,2019,1,Commercial,Battery Electric (BEV),Tata Motors,0,51.0,39000000
Madhya Pradesh,Jabalpur,2019-06-23,2019,6,Car,Battery Electric (BEV),Hyundai,1,14.0,85000000
Haryana,Faridabad,2023-04-17,2023,4,Bus,Battery Electric (BEV),Olectra Greentech,0,54.0,30000000
Karnataka,Bengaluru Urban,2025-05-08,2025,5,2W,Battery Electric (BEV),TVS Motor,89,196.0,67000000
Odisha,Rourkela,2025-02-06,2025,2,2W,Plug-in Hybrid (PHEV),Ola Electric,23,52.0,46000000
Assam,Guwahati,2024-05-27,2024,5,3W,Battery Electric (BEV),Bajaj Auto,2,26.0,35000000
Punjab,Amritsar,2019-08-07,2019,8,2W,Battery Electric (BEV),Bajaj Auto,1,25.0,30000000
Rajasthan,Kota,2024-07-19,2024,7,Bus,Battery Electric (BEV),Olectra Greentech,2,54.0,81000000
Bihar,Bhagalpur,2021-04-13,2021,4,2W,Battery Electric (BEV),Hero Electric,9,30.0,128000000
Andhra Pradesh,Vijayawada,2019-10-16,2019,10,Bus,Plug-in Hybrid (PHEV),Tata Motors,0,14.0,53000000
Himachal Pradesh,,2025-04-15,2025,4,Car,,Hyundai,0,,7500000
Madhya Pradesh,Gwalior,2023-03-19,2023,3,3W,Battery Electric (BEV),Kinetic Green,10,83.0,85000000
Andhra Pradesh,Guntur,2023-11-01,2023,11,3W,Battery Electric (BEV),Kinetic Green,4,47.0,53000000
Jharkhand,Jamshedpur,2023-02-25,2023,2,3W,Battery Electric (BEV),Bajaj Auto,1,34.0,39000000
Gujarat,Rajkot,2024-01-09,2024,1,Bus,Battery Electric (BEV),Tata Motors,4,100.0,71000000
West Bengal,Durgapur,2020-03-14,2020,3,3W,Battery Electric (BEV),YC Electric,1,12.0,99000000
Uttar Pradesh,Noida,2021-12-12,2021,12,Commercial,Battery Electric (BEV),Tata Motors,4,37.0,231000000
Punjab,Ludhiana,2020-11-25,2020,11,Car,Battery Electric (BEV),Mahindra Electric,0,14.0,30000000
Gujarat,Vadodara,2024-10-14,2024,10,Car,Battery Electric (BEV),Tata Motors,15,165.0,71000000
Maharashtra,Nashik,2020-07-21,2020,7,Bus,Battery Electric (BEV),Ashok Leyland,0,56.0,123000000
Haryana,Faridabad,2024-07-26,2024,7,Bus,Battery Electric (BEV),Ashok Leyland,0,56.0,30000000
Kerala,Kozhikode,2019-06-12,2019,6,Commercial,Battery Electric (BEV),Tata Motors,0,17.0,35000000
Delhi,East Delhi,2019-01-03,2019,1,Commercial,Battery Electric (BEV),Ashok Leyland,0,39.0,32000000
Uttarakhand,Haridwar,2019-01-01,2019,1,3W,Battery Electric (BEV),YC Electric,0,10.0,11000000
West Bengal,Howrah,2021-04-10,2021,4,Car,Plug-in Hybrid (PHEV),Mahindra Electric,2,44.0,99000000
Rajasthan,Udaipur,2024-11-20,2024,11,Bus,Battery Electric (BEV),Tata Motors,1,55.0,81000000
Jharkhand,Ranchi,2021-06-05,2021,6,2W,Battery Electric (BEV),Bajaj Auto,3,29.0,39000000
Chandigarh,Chandigarh,2025-06-15,2025,6,Bus,Battery Electric (BEV),PMI Electro,0,25.0,1200000
Kerala,Ernakulam,2022-10-06,2022,10,Commercial,Battery Electric (BEV),Ashok Leyland,0,49.0,35000000
Maharashtra,Pune,2024-03-22,2024,3,Commercial,Battery Electric (BEV),Tata Motors,22,73.0,123000000
Chhattisgarh,Bilaspur,2019-07-23,2019,7,2W,Battery Electric (BEV),Bajaj Auto,0,12.0,30000000
Odisha,Rourkela,2025-05-05,2025,5,Car,Battery Electric (BEV),BYD,3,35.0,46000000
Uttarakhand,Haridwar,2020-06-25,2020,6,Commercial,Battery Electric (BEV),Mahindra Electric,0,1.0,11000000
Tamil Nadu,Salem,2022-02-07,2022,2,2W,Battery Electric (BEV),Ather Energy,49,79.0,77000000
Tamil Nadu,,2021-02-18,2021,2,Commercial,Battery Electric (BEV),Ashok Leyland,2,38.0,77000000
Delhi,East Delhi,2022-09-08,2022,9,2W,Battery Electric (BEV),TVS Motor,14,106.0,32000000
Haryana,Gurugram,2023-03-24,2023,3,2W,Battery Electric (BEV),TVS Motor,14,71.0,30000000
Chhattisgarh,Bilaspur,2021-03-25,2021,3,Commercial,Plug-in Hybrid (PHEV),Mahindra Electric,0,20.0,30000000
Telangana,Hyderabad,2021-08-03,2021,8,3W,Battery Electric (BEV),Kinetic Green,2,37.0,39000000
Kerala,Kozhikode,2021-11-11,2021,11,2W,Battery Electric (BEV),Hero Electric,4,22.0,35000000
Delhi,South Delhi,2025-02-09,2025,2,Car,Battery Electric (BEV),MG Motor,11,138.0,32000000
Telangana,Warangal,2019-08-24,2019,8,2W,Battery Electric (BEV),Bajaj Auto,3,23.0,39000000
Jharkhand,Ranchi,2023-03-15,2023,3,2W,Battery Electric (BEV),Ather Energy,9,41.0,39000000
Andhra Pradesh,Visakhapatnam,2020-12-07,2020,12,2W,Battery Electric (BEV),Ola Electric,4,34.0,53000000
Tamil Nadu,Coimbatore,2022-02-17,2022,2,Bus,Battery Electric (BEV),Ashok Leyland,2,107.0,77000000
Uttar Pradesh,Varanasi,2018-10-15,2018,10,Car,Battery Electric (BEV),Tata Motors,4,14.0,231000000
Uttar Pradesh,Lucknow,2020-05-26,2020,5,3W,Battery Electric (BEV),Bajaj Auto,9,34.0,231000000
Telangana,Nizamabad,2024-07-26,2024,7,Commercial,Battery Electric (BEV),Ashok Leyland,3,137.0,39000000
Uttar Pradesh,Kanpur,2025-06-22,2025,6,Car,Battery Electric (BEV),BYD,61,143.0,231000000
Uttar Pradesh,Varanasi,2020-07-26,2020,7,Bus,Battery Electric (BEV),Ashok Leyland,1,23.0,231000000
Bihar,Patna,2019-08-18,2019,8,Car,Battery Electric (BEV),Tata Motors,0,5.0,128000000
Uttar Pradesh,Kanpur,2025-01-09,2025,1,2W,Battery Electric (BEV),Hero Electric,363,74.0,231000000
Rajasthan,Jodhpur,2019-01-27,2019,1,2W,Battery Electric (BEV),Okinawa Autotech,3,13.0,81000000
Tamil Nadu,Salem,2022-11-12,2022,11,2W,Battery Electric (BEV),Hero Electric,46,58.0,77000000
Karnataka,Bengaluru Urban,2024-11-22,2024,11,3W,Battery Electric (BEV),YC Electric,10,118.0,67000000
Goa,North Goa,2018-05-23,2018,5,3W,Battery Electric (BEV),Bajaj Auto,0,4.0,1600000
Bihar,Bhagalpur,2025-03-13,2025,3,2W,Battery Electric (BEV),Okinawa Autotech,60,36.0,128000000
West Bengal,Kolkata,2020-08-08,2020,8,2W,Battery Electric (BEV),Bajaj Auto,6,39.0,99000000
Madhya Pradesh,Jabalpur,2018-05-11,2018,5,2W,Battery Electric (BEV),TVS Motor,4,17.0,85000000
Bihar,Bhagalpur,2022-02-25,2022,2,Car,Battery Electric (BEV),Mahindra Electric,3,23.0,128000000
Uttar Pradesh,Lucknow,2022-10-06,2022,10,3W,Battery Electric (BEV),Kinetic Green,15,43.0,231000000
Kerala,Ernakulam,2020-11-12,2020,11,3W,Battery Electric (BEV),Kinetic Green,0,42.0,35000000
West Bengal,Durgapur,2022-05-06,2022,5,3W,Battery Electric (BEV),YC Electric,9,56.0,99000000
Madhya Pradesh,Indore,2018-11-23,2018,11,2W,Battery Electric (BEV),Okinawa Autotech,3,9.0,85000000
Uttar Pradesh,Lucknow,2019-12-18,2019,12,Commercial,Battery Electric (BEV),Mahindra Electric,3,39.0,231000000
West Bengal,Howrah,2024-07-25,2024,7,3W,Battery Electric (BEV),Kinetic Green,18,94.0,99000000
Jammu and Kashmir,Srinagar,2020-01-23,2020,1,2W,Battery Electric (BEV),Ola Electric,0,14.0,13000000
Uttar Pradesh,Noida,2020-09-22,2020,9,3W,Battery Electric (BEV),Kinetic Green,7 ,55.0,231000000
Odisha,,2024-01-05,2024,1,2W,,,13,,46000000
Odisha,Cuttack,2025-05-14,2025,5,Commercial,Battery Electric (BEV),Eicher Motors,1,33.0,46000000
Jammu and Kashmir,Jammu,2021-01-09,2021,1,3W,Battery Electric (BEV),YC Electric,0 ,23.0,13000000
maharashtra ,Nagpur,2019-11-18,2019,11,Commercial,Battery Electric (BEV),Eicher Motors,2,40.0,123000000
Chhattisgarh,Bilaspur,2021-02-23,2021,2,Commercial,Battery Electric (BEV),Tata Motors,0,23.0,30000000
Telangana,Hyderabad,2019-07-18,2019,7,2W,Battery Electric (BEV),Ola Electric,6,33.0,39000000
Madhya Pradesh,Gwalior,2024-08-19,2024,8,2W,Battery Electric (BEV),Bajaj Auto,35,81.0,85000000
Bihar,Gaya,2020-06-05,2020,6,3W,Battery Electric (BEV),Kinetic Green,1,24.0,128000000
ODISHA,Bhubaneswar,2025-06-18,2025,6,3W,Battery Electric (BEV),Piaggio,3,28.0,46000000
Madhya Pradesh,Bhopal,2023-11-05,2023,11,Car,Battery Electric (BEV),Mahindra Electric,4,64.0,85000000
Punjab,Jalandhar,2024-01-02,2024,1,3W,Battery Electric (BEV),Piaggio,4,76.0,30000000
Jharkhand,Jamshedpur,2018-02-14,2018,2,2W,Battery Electric (BEV),Ola Electric,1,8.0,39000000
Gujarat,Vadodara,2022-09-17,2022,9,Commercial,Battery Electric (BEV),Mahindra Electric,4,58.0,71000000
Karnataka,Mangaluru,2025-06-01,2025,6,Car,Battery Electric (BEV),Tata Motors,23,66.0,67000000
Assam,Silchar,2023-03-21,2023,3,2W,Battery Electric (BEV),Ola Electric,6,18.0,35000000
Tamil Nadu,Coimbatore,2023-07-16,2023,7,Bus,Battery Electric (BEV),PMI Electro,1,141.0,77000000
Karnataka,Bengaluru Urban,2023-01-15,2023,1,Commercial,Battery Electric (BEV),Eicher Motors,4,64.0,67000000
Jharkhand,Jamshedpur,2022-12-18,2022,12,3W,Battery Electric (BEV),Kinetic Green,1,11.0,39000000
Kerala,Ernakulam,2018-01-27,2018,1,2W,Plug-in Hybrid (PHEV),Okinawa Autotech,2,7.0,35000000
Haryana,Gurugram,2018-09-16,2018,9,2W,Plug-in Hybrid (PHEV),Okinawa Autotech,1,10.0,30000000
Kerala,Thiruvananthapuram,2023-03-14,2023,3,3W,Battery Electric (BEV),Bajaj Auto,3,35.0,35000000
Uttar Pradesh,Kanpur,2018-11-20,2018,11,Bus,Battery Electric (BEV),Olectra Greentech,1,14.0,231000000
Andhra Pradesh,Vijayawada,2022-03-01,2022,3,2W,Battery Electric (BEV),Hero Electric,10,29.0,53000000
Madhya Pradesh,Gwalior,2019-07-05,2019,7,Bus,Battery Electric (BEV),Olectra Greentech,0,23.0,85000000
West Bengal,Howrah,2018-04-27,2018,4,3W,Battery Electric (BEV),Kinetic Green,1,0.0,99000000
Uttar Pradesh,Kanpur,2022-12-03,2022,12,2W,Battery Electric (BEV),Ola Electric,166,117.0,231000000
Jharkhand,Dhanbad,2021-09-26,2021,9,Commercial,Battery Electric (BEV),Ashok Leyland,0,15.0,39000000
maharashtra ,Nashik,2021-07-06,2021,7,Car,Battery Electric (BEV),BYD,5,38.0,123000000
Andhra Pradesh,Guntur,2025-01-04,2025,1,2W,Battery Electric (BEV),Bajaj Auto,40,73.0,53000000
Andhra Pradesh,Vijayawada,2020-01-10,2020,1,2W,Battery Electric (BEV),Ather Energy,3,18.0,53000000
Karnataka,Mangaluru,2018-10-15,2018,10,Car,Battery Electric (BEV),Mahindra Electric,0,24.0,67000000
Chandigarh,Chandigarh,2022-08-04,2022,8,3W,Battery Electric (BEV),Mahindra Electric,0,24.0,1200000
Andhra Pradesh,Guntur,2021-01-04,2021,1,3W,Battery Electric (BEV),Piaggio,1,31.0,53000000
Haryana,Faridabad,2023-10-17,2023,10,Commercial,Battery Electric (BEV),Mahindra Electric,0,63.0,30000000
Kerala,Thiruvananthapuram,2018-10-06,2018,10,2W,Battery Electric (BEV),Okinawa Autotech,1,10.0,35000000
Tamil Nadu,Salem,2020-01-24,2020,1,3W,Battery Electric (BEV),Piaggio,2,39.0,77000000
Maharashtra,Nagpur,2024-06-14,2024,6,Commercial,Battery Electric (BEV),Tata Motors,15,93.0,123000000
Telangana,Nizamabad,2018-01-08,2018,1,2W,Battery Electric (BEV),Okinawa Autotech,3,25.0,39000000
Bihar,Bhagalpur,2025-01-20,2025,1,Commercial,Battery Electric (BEV),Ashok Leyland,5,45.0,128000000
Assam,Silchar,2024-03-18,2024,3,Car,Battery Electric (BEV),Hyundai,2,29.0,35000000
Telangana,Nizamabad,2018-05-03,2018,5,Bus,Battery Electric (BEV),Ashok Leyland,0,23.0,39000000
Delhi,North Delhi,2021-12-10,2021,12,Car,Battery Electric (BEV),Tata Motors,1,65.0,32000000
Gujarat,Vadodara,2020-10-10,2020,10,Car,Battery Electric (BEV),Mahindra Electric,1,60.0,71000000
Goa,North Goa,2022-01-15,2022,1,2W,Battery Electric (BEV),Hero Electric,0,21.0,1600000
Karnataka,Mangaluru,2018-11-24,2018,11,Bus,Battery Electric (BEV),Olectra Greentech,0,20.0,67000000
Uttar Pradesh,Ghaziabad,2020-01-21,2020,1,Bus,Battery Electric (BEV),Olectra Greentech,1,24.0,231000000
Delhi,East Delhi,2020-06-04,2020,6,2W,Plug-in Hybrid (PHEV),Okinawa Autotech,3,23.0,32000000
Madhya Pradesh,Gwalior,2025-04-16,2025,4,Bus,Plug-in Hybrid (PHEV),Ashok Leyland,3,91.0,85000000
Telangana,Warangal,2025-05-11,2025,5,Commercial,Battery Electric (BEV),Ashok Leyland,5,105.0,39000000
Maharashtra,Nashik,2021-05-12,2021,5,Commercial,Battery Electric (BEV),Ashok Leyland,2,58.0,123000000
West Bengal,Kolkata,2019-08-25,2019,8,2W,Battery Electric (BEV),TVS Motor,9,7.0,99000000
Uttar Pradesh,Kanpur,2023-02-23,2023,2,Bus,Battery Electric (BEV),PMI Electro,9,106.0,231000000
Jammu and Kashmir,Srinagar,2024-12-09,2024,12,Commercial,Plug-in Hybrid (PHEV),Eicher Motors,0 ,44.0,13000000
West Bengal,Siliguri,2022-08-18,2022,8,Commercial,Battery Electric (BEV),Ashok Leyland,1,32.0,99000000
Rajasthan,Jaipur,2019-04-23,2019,4,Car,Battery Electric (BEV),MG Motor,1,7.0,81000000
Telangana,Warangal,2019-06-02,2019,6,Car,Battery Electric (BEV),Tata Motors,1,27.0,39000000
Gujarat,Surat,2022-08-09,2022,8,3W,Plug-in Hybrid (PHEV),YC Electric,8,123.0,71000000
Punjab,Jalandhar,2020-06-18,2020,6,2W,Battery Electric (BEV),TVS Motor,1,24.0,30000000
Bihar,Bhagalpur,2020-12-12,2020,12,Car,Plug-in Hybrid (PHEV),Tata Motors,0,3.0,128000000
Uttarakhand,Dehradun,2023-08-13,2023,8,3W,Battery Electric (BEV),Piaggio,0,43.0,11000000
Punjab,Jalandhar,2022-01-15,2022,1,Commercial,Battery Electric (BEV),Eicher Motors,0,33.0,30000000
Chandigarh,Chandigarh,2023-01-20,2023,1,Car,Battery Electric (BEV),Kia,0,29.0,1200000
Assam,Silchar,2025-05-27,2025,5,3W,Battery Electric (BEV),Mahindra Electric,4,30.0,35000000
Maharashtra,Pune,2020-03-12,2020,3,Car,Battery Electric (BEV),Tata Motors,4,48.0,123000000
Haryana,Faridabad,2019-10-27,2019,10,3W,Battery Electric (BEV),Bajaj Auto,0,15.0,30000000
Uttar Pradesh,Varanasi,2020-10-27,2020,10,Car,Battery Electric (BEV),BYD,6,44.0,231000000
Delhi,North Delhi,2024-01-17,2024,1,Car,Plug-in Hybrid (PHEV),Kia,8,120.0,32000000
Orissa,Rourkela,2024-03-25,2024,3,3W,Battery Electric (BEV),Kinetic Green,2,30.0,46000000
Assam,,2022-09-27,2022,9,2W,,,4,,35000000
Haryana,Faridabad,2024-07-14,2024,7,Car,Battery Electric (BEV),Mahindra Electric,4,67.0,30000000
Karnataka,Bengaluru Urban,2019-09-20,2019,9,Car,Battery Electric (BEV),Hyundai,1,39.0,67000000
Odisha,Rourkela,2021-01-25,2021,1,Commercial,Battery Electric (BEV),Tata Motors,0,19.0,46000000
Telangana,Nizamabad,2020-08-06,2020,8,3W,Battery Electric (BEV),Kinetic Green,1,48.0,39000000
Uttar Pradesh,Noida,2019-03-27,2019,3,2W,Battery Electric (BEV),Bajaj Auto,57,29.0,231000000
Chandigarh,Chandigarh,2024-03-24,2024,3,Car,Battery Electric (BEV),Mahindra Electric,0,30.0,1200000
Bihar,,2023-05-05,2023,5,2W,Plug-in Hybrid (PHEV),Ola Electric,22,,128000000
DELHI,North Delhi,2022-07-26,2022,7,2W,Battery Electric (BEV),Bajaj Auto,16,56.0,32000000
Jharkhand,Ranchi,2023-11-10,2023,11,Bus,Battery Electric (BEV),Ashok Leyland,0,27.0,39000000
Uttar Pradesh,Noida,2020-04-05,2020,4,3W,Battery Electric (BEV),Piaggio,5,48.0,231000000
Jammu and Kashmir,Jammu,2022-06-20,2022,6,2W,Battery Electric (BEV),Ather Energy,1,32.0,13000000
Jammu and Kashmir,Srinagar,2024-05-09,2024,5,Car,Plug-in Hybrid (PHEV),BYD,1,50.0,13000000
Delhi,North Delhi,2021-12-14,2021,12,3W,Battery Electric (BEV),YC Electric,1,88.0,32000000
Uttar Pradesh,Lucknow,2021-02-02,2021,2,Commercial,Battery Electric (BEV),Mahindra Electric,6,42.0,231000000
MAHARASHTRA,Nagpur,2021-11-04,2021,11,Bus,Battery Electric (BEV),Ashok Leyland,1,82.0,123000000
Telangana,Hyderabad,2024-11-26,2024,11,Bus,Battery Electric (BEV),Olectra Greentech,1,61.0,39000000
Goa,South Goa,2021-12-10,2021,12,Bus,Battery Electric (BEV),Olectra Greentech,0,9.0,1600000
Bihar,Bhagalpur,2020-04-16,2020,4,Bus,Battery Electric (BEV),Olectra Greentech,0,5.0,128000000
Chhattisgarh,Bilaspur,2021-08-16,2021,8,2W,Battery Electric (BEV),Okinawa Autotech,1,16.0,30000000
Madhya Pradesh,Indore,2023-12-20,2023,12,Commercial,Battery Electric (BEV),Mahindra Electric,3,65.0,85000000
West Bengal,Siliguri,2020-09-27,2020,9,2W,Battery Electric (BEV),Bajaj Auto,5,30.0,99000000
Himachal Pradesh,Shimla,2023-04-11,2023,4,2W,Battery Electric (BEV),Okinawa Autotech,1,32.0,7500000
West Bengal,Howrah,2022-10-17,2022,10,Bus,Battery Electric (BEV),PMI Electro,1,35.0,99000000
Karnataka,Hubli,2025-06-27,2025,6,3W,Battery Electric (BEV),Piaggio,19,201.0,67000000
Bihar,Gaya,2021-12-26,2021,12,Bus,Battery Electric (BEV),Ashok Leyland,0,26.0,128000000
Tamil Nadu,Salem,2020-12-21,2020,12,2W,Battery Electric (BEV),Bajaj Auto,6,33.0,77000000
Kerala,Thiruvananthapuram,2025-01-19,2025,1,3W,Battery Electric (BEV),Piaggio,4,92.0,35000000
Telangana,Hyderabad,2023-06-06,2023,6,2W,Battery Electric (BEV),Ola Electric,10,105.0,39000000
Uttar Pradesh,,2020-12-20,2020,12,Bus,Battery Electric (BEV),Ashok Leyland,1,38.0,231000000
Haryana,Panipat,2024-12-16,2024,12,3W,Battery Electric (BEV),Mahindra Electric,4,40.0,30000000
Tamil Nadu,Coimbatore,2021-05-05,2021,5,Commercial,Battery Electric (BEV),Tata Motors,2,102.0,77000000
Assam,Guwahati,2021-11-02,2021,11,2W,Battery Electric (BEV),Ola Electric,3,18.0,35000000
Uttarakhand,Haridwar,2023-12-08,2023,12,2W,Battery Electric (BEV),Okinawa Autotech,2,25.0,11000000
Telangana,Hyderabad,2022-07-11,2022,7,Commercial,Battery Electric (BEV),Mahindra Electric,1,89.0,39000000
Maharashtra,Nagpur,2022-05-16,2022,5,2W,Plug-in Hybrid (PHEV),Okinawa Autotech,58,115.0,123000000
Andhra Pradesh,Vijayawada,2023-12-10,2023,12,3W,Battery Electric (BEV),Kinetic Green,5,24.0,53000000
Odisha,Bhubaneswar,2021-10-07,2021,10,2W,Battery Electric (BEV),Hero Electric,2,7.0,46000000
Gujarat,Ahmedabad,2019-03-20,2019,3,2W,Battery Electric (BEV),Ola Electric,8,37.0,71000000
Tamil Nadu,Salem,2018-02-21,2018,2,Car,Battery Electric (BEV),Tata Motors,1,21.0,77000000
Odisha,Rourkela,2021-02-19,2021,2,Car,Battery Electric (BEV),Tata Motors,0,11.0,46000000
Karnataka,Mangaluru,2023-03-20,2023,3,Bus,Battery Electric (BEV),Olectra Greentech,1,128.0,67000000
Karnataka,Bengaluru Urban,2020-11-22,2020,11,Car,Battery Electric (BEV),Kia,1,35.0,67000000
Madhya Pradesh,Bhopal,2019-01-08,2019,1,Car,Plug-in Hybrid (PHEV),BYD,1,9.0,85000000
Jharkhand,Jamshedpur,2024-07-04,2024,7,Commercial,Battery Electric (BEV),Ashok Leyland,1,21.0,39000000
Telangana,Warangal,2019-02-07,2019,2,Car,Battery Electric (BEV),BYD,1,49.0,39000000
Haryana,Panipat,2022-07-23,2022,7,Commercial,Battery Electric (BEV),Eicher Motors,0,37.0,30000000
Rajasthan,Udaipur,2022-02-20,2022,2,Commercial,Battery Electric (BEV),Mahindra Electric,2,30.0,81000000
Uttarakhand,Haridwar,2018-08-03,2018,8,Bus,Battery Electric (BEV),Olectra Greentech,0,8.0,11000000
Kerala,Thiruvananthapuram,2023-02-13,2023,2,Commercial,Battery Electric (BEV),Eicher Motors,1,68.0,35000000
Andhra Pradesh,Guntur,2025-05-01,2025,5,Car,Battery Electric (BEV),Tata Motors,7,51.0,53000000
Madhya Pradesh,Bhopal,2023-01-27,2023,1,Car,Battery Electric (BEV),Kia,8,51.0,85000000
Kerala,Ernakulam,2025-06-01,2025,6,2W,Battery Electric (BEV),Ola Electric,20,48.0,35000000
Delhi,South Delhi,2018-12-16,2018,12,Commercial,Battery Electric (BEV),Mahindra Electric,0,24.0,32000000
Gujarat,Surat,2021-06-04,2021,6,3W,Battery Electric (BEV),Piaggio,2,54.0,71000000
Punjab,Jalandhar,2024-08-11,2024,8,3W,Battery Electric (BEV),Bajaj Auto,4,75.0,30000000
Orissa,Cuttack,2020-10-27,2020,10,2W,Battery Electric (BEV),Ola Electric,1,16.0,46000000
Kerala,Kozhikode,2024-08-04,2024,8,3W,Battery Electric (BEV),Piaggio,3,61.0,35000000
Jammu and Kashmir,Jammu,2025-05-09,2025,5,2W,Battery Electric (BEV),Okinawa Autotech,5,14.0,13000000
Karnataka,Mangaluru,2019-05-07,2019,5,Car,Battery Electric (BEV),BYD,2,34.0,67000000
Uttar Pradesh,Noida,2023-06-25,2023,6,2W,Battery Electric (BEV),Okinawa Autotech,185,71.0,231000000
Andhra Pradesh,Vijayawada,2019-03-12,2019,3,2W,Battery Electric (BEV),Bajaj Auto,6,15.0,53000000
West Bengal,Howrah,2020-06-15,2020,6,3W,Battery Electric (BEV),Bajaj Auto,1,36.0,99000000
Jammu and Kashmir,Jammu,2024-03-14,2024,3,Bus,Battery Electric (BEV),Olectra Greentech,0,44.0,13000000
